1,Archinal; Brent A. Version 4.0 of an unpublished list of errata to the RNGC; dated March 19; 1987. (110;0)
2,Arp; H.; "Atlas of Peculiar Galaxies"; 1966ApJS...14....1A (1;2) (Catalog <VII/74>)
3,Corwin; Harold G.; Jr.; A. de Vaucouleurs; and G. de Vaucouleurs; "Southern Galaxy Catalogue"; Austin; Texas: University of Texas Monographs in Astronomy No. 4; 1985. (152;564) (Catalog <VII/116>)
4,Dreyer; J.L.E.; New General Catalogue of Nebulae and Clusters of Stars (1888); Index Catalogue (1895); Second Index Catalogue (1908). London: Royal Astronomical Society; 1953. (28;2157)
5,Dreyer; J.L.E.; ibid. Errata on pages 237; 281-283; and 366-378. (158;28)
6,Skiff; Brian; private communication of February 27; 1988.  (93;36)
7,Holmberg; E.; "A Study of Double and Multiple Galaxies"; Lund Annals; 6; 1937. (13;2)
8,Karachentsev; I.D.; "A Catalogue of Isolated Pairs of Galaxies in the Northern Hemisphere"; also; Karachentseva; V.E.; "A Catalog of Isolated Galaxies." Astrofiz. Issled. Izv. Spetz. Astrofiz.; 7; 3; 1972; and 8; 3; 1973. (0;4) (Catalogs <VII/77>; <VII/82>; <VII/83>)
9,Vorontsov-Velyaminov; B.A.; and V.P. Arhipova; "Morphological Catalog of Galaxies"; Parts I-V. Moscow: Moscow State University; 1962-74. (9;679) (Catalogs <VII/62> and <VII/100>)
10,Reinmuth; K.; "Photographische Positionsbestimmung von NebelRecken" Veroff der Sternwarte zu Heidelberg; several papers; 1916-40. (0;4)
11,Alter; G.; B. Balazs; and J. Ruprecht; Catalogue of Star Clusters and Associations; 2nd edition.  Budapest: Akademiai Kiado; 1970. (5;0) (Catalogs <VII/5>; <VII/44> and <VII/101>)
12,Sulentic; Jack W.; and William G. Tifft; "The Revised New General Catalogue of Nonstellar Astronomical Objects (RNGC)". Tucson; Arizona:University of Arizona Press; 1973. (4016;0) (Catalog <VII/1>)
13,Hirshfeld; Alan; and Roger W. Sinnott; eds.; Sky Catalogue 2000.0; Vol.2; Cambridge; Massachusetts: Sky Publishing Corp. and Cambridge University Press; 1985. (3098;238)
14,Tully; R.B.; "Nearby Galaxies Catalog". New York: Cambridge University Press; 1988. A preliminary version on magnetic tape (1981) was used here. (23;17) (Catalog <VII/145>)
15,Nilson P.N.; Uppsala Ceneral Catalogue of Galaxies. Uppsala: Uppsala Astronomical Observatory; 1973. (15;543) (Catalog <VII/26>)
16,de Vaucouleurs; G.; A. de Vaucouleurs; and H.C. Corvin; Jr.; Second Reference Catalogue of Bright Galaxies. Austin; Texas; University of Texas Press; 1976.(118;206) (Catalog <VII/112>)
17,Dixon; R.S.; and George Sonneborn; "A Master List of Nonstellar Optical Astronomical Objects (MOL)".  Columbus; Ohio; Ohio State University Press; 1980. It should be noted that most of the information for codes a;h;k;m;n;o;u and z was extracted from the magnetic-tape version of this catalogue. The x code refers to IC objects identified in a literature search by these authors. (0;526)
18,Zwicky; F.; E. Herzog; and P. Wild; "Catalogue of Galaxies and Clusters of Galaxies"; Vol.I. Pasadena; Calif.; California Institute of Technology; 1961. Also; successive volumes through 1968. (1;380) (Catalog <VII/49>)
